Unnamed: 0,A2M (2),ABCB1 (5243)
ACH-001128,0.0871509818163318,0.0528733910111201
ACH-001134,-0.0520148705388338,-0.1716057223630941
ACH-001137,0.1239354886698454,-0.6420184974344169
ACH-001172,0.0414564815677466,-0.0955175920760537
ACH-001275,0.0243881384279526,-0.1111343898813713
ACH-001279,-0.0907057548788075,-0.0562686137218044
ACH-001280,-0.0509277871419131,0.0017310437841233
ACH-001310,-0.0485402221086518,-0.0803275988336798
ACH-001340,0.0669067476717965,-0.0379858766484826
ACH-001386,0.0534164724658658,-0.0245321282632801
ACH-001390,-0.190625432525504,0.1463001734864931
ACH-001396,-0.2465958812996161,-0.1428436884965065
ACH-001398,-0.2541197980304243,-0.2246176077119092
ACH-001422,0.0650008146091612,-0.2182435806917708
ACH-001460,0.0208832156314117,-0.019076103304536
ACH-001533,0.3825594983530961,-0.0083649100258613
ACH-001542,0.084051850396046,0.0468493887509001
ACH-001547,-0.0266243032963775,-0.1578928364244964
ACH-001548,-0.0823320373405604,0.1263701497821904
ACH-001558,-0.1411309929530355,-0.1351991915294608
ACH-001608,-0.0325913564597613,-0.0633773049765101
ACH-001619,0.1056636835883343,-0.1819994327562406
ACH-001625,0.2377624313953901,-0.0764553628092663
ACH-001642,-0.0789522489722156,-0.2352014518409172
ACH-001691,-0.0535230188445128,-0.2080000691355589
ACH-001692,-0.0145898321988193,-0.1584860891633815
ACH-001842,-0.1352170892016493,0.2128138190726067
ACH-001850,0.0030999376044237,-0.1001915105331835
ACH-001853,-0.0834371148630915,-0.0489369744812062
ACH-001970,-0.0142737456649427,-0.0456497062474932
ACH-001991,0.0107157545210504,-0.1286943164688724
ACH-002030,0.1018317773555844,-0.1985000273040973
ACH-002044,0.0525313797922329,-0.1204780891917626
ACH-002062,-0.0297184132817745,-0.2976699744221366
ACH-002116,-0.0010640208640098,-0.2199929168958622
ACH-002210,0.2231372811855228,-0.1063098655499235
ACH-002464,0.008922378571825,-0.2188414474289342
ACH-002647,-5.337331837548115e-05,-0.3129490229098142
ACH-002680,0.0331610130472269,-0.0907471505521829
ACH-003176,0.0227727825772946,-0.0746270351277283
ACH-000014,0.050225400847822,-0.0491515050516825
ACH-000019,0.0786373552336792,-0.1038813864822205
ACH-000035,-0.0195809371560329,-0.1667982640999301
